probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P1_1_0_0_1,Void,null,null,null,Void,null,null,null,false,false
P1_16_0_2_1,Void,null,null,null,tuple,empty,[],c||empty|as-sorted,false,false
P3_3_0_0_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P3_3_0_1_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P3_3_0_2_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P3_3_0_4_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P3_3_1_0_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int,base_42,000000000000002a,"[1, 1.3125, 5]",true,true
P3_3_1_1_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P3_3_1_2_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P3_3_1_4_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
P3_3_2_0_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P3_3_2_1_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P3_3_2_2_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P3_3_2_4_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P3_3_4_0_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P3_3_4_1_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P3_3_4_2_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P3_3_4_4_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P3_4_0_0_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int32,base_42,0000002a,"[1, 1.3125, 5]",false,false
P3_4_0_1_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",Int32,base_zero,00000000,"[1, 0.0, 0]",false,false
P3_4_1_0_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int32,base_42,0000002a,"[1, 1.3125, 5]",true,true
P3_4_1_1_1,Int,base_zero,0000000000000000,"[1, 0.0, 0]",Int32,base_zero,00000000,"[1, 0.0, 0]",false,false
P3_4_2_0_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int32,base_42,0000002a,"[1, 1.3125, 5]",false,false
P3_4_2_1_1,Int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",Int32,base_zero,00000000,"[1, 0.0, 0]",false,false
P3_4_4_0_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int32,base_42,0000002a,"[1, 1.3125, 5]",false,false
P3_4_4_1_1,Int,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int32,base_zero,00000000,"[1, 0.0, 0]",false,false
P3_5_0_0_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",UInt64,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P3_5_0_1_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",UInt64,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P3_5_0_2_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",UInt64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",true,true
P3_5_0_3_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",UInt64,i64max_plus1,8000000000000000,"[1, 1.0, 63]",true,true
P3_5_0_4_1,Int,base_42,000000000000002a,"[1, 1.3125, 5]",UInt64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",true,true
