probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_0_0_0,string? (null reference),null,null,null,string? (null reference),null,null,null,0:0:,t||0|0|0
P0_1_0_0_0,string? (null reference),null,null,null,Nullable<int>,null,null,null,0:0:,t||0|0|0
P0_2_0_0_0,string? (null reference),null,null,null,object (null reference),null,null,null,0:0:,t||0|0|0
P0_3_0_0_0,string? (null reference),null,null,null,bool,false,false,false,5:5:46616c7365,t|46616c7365|5|5|5
P0_3_0_1_0,string? (null reference),null,null,null,bool,true,true,true,4:4:54727565,t|54727565|4|4|4
P0_4_0_0_0,string? (null reference),null,null,null,int,base_42,0000002a,"[1, 1.3125, 5]",2:2:3432,t|3432|2|2|2
P0_4_0_1_0,string? (null reference),null,null,null,int,base_zero,00000000,"[1, 0.0, 0]",1:1:30,t|30|1|1|1
P0_5_0_0_0,string? (null reference),null,null,null,long,base_42,000000000000002a,"[1, 1.3125, 5]",2:2:3432,t|3432|2|2|2
P0_5_0_1_0,string? (null reference),null,null,null,long,base_zero,0000000000000000,"[1, 0.0, 0]",1:1:30,t|30|1|1|1
P0_5_0_2_0,string? (null reference),null,null,null,long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",19:19:39323233333732303336383534373735383037,t|39323233333732303336383534373735383037|19|19|19
P0_5_0_4_0,string? (null reference),null,null,null,long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",16:16:39303037313939323534373430393933,t|39303037313939323534373430393933|16|16|16
P0_6_0_0_0,string? (null reference),null,null,null,ulong,base_42,000000000000002a,"[1, 1.3125, 5]",2:2:3432,t|3432|2|2|2
P0_6_0_1_0,string? (null reference),null,null,null,ulong,base_zero,0000000000000000,"[1, 0.0, 0]",1:1:30,t|30|1|1|1
P0_6_0_2_0,string? (null reference),null,null,null,ulong,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",19:19:39323233333732303336383534373735383037,t|39323233333732303336383534373735383037|19|19|19
P0_6_0_3_0,string? (null reference),null,null,null,ulong,i64max_plus1,8000000000000000,"[1, 1.0, 63]",19:19:39323233333732303336383534373735383038,t|39323233333732303336383534373735383038|19|19|19
P0_6_0_4_0,string? (null reference),null,null,null,ulong,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",16:16:39303037313939323534373430393933,t|39303037313939323534373430393933|16|16|16
P0_6_0_5_0,string? (null reference),null,null,null,ulong,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",20:20:3138343436373434303733373039353531363135,t|3138343436373434303733373039353531363135|20|20|20
P0_7_0_0_0,string? (null reference),null,null,null,System.Numerics.BigInteger,base_42,2a,"[1, 1.3125, 5]",2:2:3432,t|3432|2|2|2
P0_7_0_1_0,string? (null reference),null,null,null,System.Numerics.BigInteger,base_zero,0,"[1, 0.0, 0]",1:1:30,t|30|1|1|1
P0_7_0_2_0,string? (null reference),null,null,null,System.Numerics.BigInteger,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",19:19:39323233333732303336383534373735383037,t|39323233333732303336383534373735383037|19|19|19
P0_7_0_3_0,string? (null reference),null,null,null,System.Numerics.BigInteger,i64max_plus1,8000000000000000,"[1, 1.0, 63]",19:19:39323233333732303336383534373735383038,t|39323233333732303336383534373735383038|19|19|19
P0_7_0_4_0,string? (null reference),null,null,null,System.Numerics.BigInteger,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",16:16:39303037313939323534373430393933,t|39303037313939323534373430393933|16|16|16
P0_7_0_5_0,string? (null reference),null,null,null,System.Numerics.BigInteger,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",20:20:3138343436373434303733373039353531363135,t|3138343436373434303733373039353531363135|20|20|20
