guard60.py -- every artifact task 60 writes, unmodified guard, ONE process.  Nothing was added to any field set, and no artifact was declared out of the walk.
$ python3 check_no_spelling_keys.py <335 paths, one process>

operator inventory: 91 tokens read from probe_manifest_*.json
PASS canon39_wrapped_c.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_wrapped_cpp.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_wrapped_go.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_wrapped_rust.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_wrapped_swift.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_interp.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_regen_state.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_assemble.json -- no operator token in any key, grouping, pairing or row structure
PASS canon39_zero_regression.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0000.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0001.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0002.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0003.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0004.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0005.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0006.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0007.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0008.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0009.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0010.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0011.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0012.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0013.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0014.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0015.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0016.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0017.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0018.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0019.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0020.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0021.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0022.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0023.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0024.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0025.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0026.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0027.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0028.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0029.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0030.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0031.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0032.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0033.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0034.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0035.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0036.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0037.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0038.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0039.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0040.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0041.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0042.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0043.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0044.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0045.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0046.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0047.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0048.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0049.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0050.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0051.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0052.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0053.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0054.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0055.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0056.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0057.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0058.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0059.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0060.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0061.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0062.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0063.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0064.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0065.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0066.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0067.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0068.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0069.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0070.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0071.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0072.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0073.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0074.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0075.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0076.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0077.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0078.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0079.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0080.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0081.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0082.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0083.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0084.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0085.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0086.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0087.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0088.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0089.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0090.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0091.json -- no operator token in any key, grouping, pairing or row structure
